x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,3,2,1,3,2,0,3,2,3,3,0,-0.8075949294340151,118553
0,0,1,0,0,0,3,3,0,0,3,0,-1.0661086493179344,119206
0,2,1,1,1,1,2,2,3,1,1,1,-1.0661086493179344,119884
0,1,1,3,0,0,3,0,0,1,0,3,-0.8075949294340148,120568
2,3,0,3,2,2,1,3,2,0,2,1,-0.27253762954984356,120710
0,3,3,2,3,0,3,0,1,3,0,3,-0.8075949294340151,121393
3,0,2,0,1,3,2,3,3,0,3,1,-0.8075949294340151,122076
0,3,2,0,1,2,3,2,3,1,2,3,-0.8075949294340151,122749
2,1,1,1,3,1,0,1,1,1,0,2,-1.0661086493179344,123458
0,2,0,1,1,1,2,2,3,1,0,3,-1.0661086493179344,124148
2,0,0,0,2,3,1,2,0,3,3,0,-1.0661086493179344,124819
0,0,1,0,0,0,0,0,0,0,0,1,-1.0661086493179344,125486
0,2,3,1,1,1,2,2,3,1,0,1,-1.0661086493179344,126185
3,0,2,2,1,3,1,3,3,0,0,0,-1.0661086493179344,126851
2,1,1,1,2,0,0,1,1,1,0,2,-0.8075949294340151,127544
2,0,0,1,2,3,3,2,0,3,0,0,-1.0661086493179344,128202
3,0,2,1,1,2,1,3,3,0,0,0,-0.8075949294340148,128878
2,1,1,1,3,1,0,1,1,1,1,2,-1.0661086493179344,129563
0,2,0,0,1,1,1,2,3,1,0,1,-0.8075949294340151,130243
3,1,1,1,3,1,0,1,1,1,3,2,-0.8075949294340148,130935
2,1,1,1,3,1,0,2,2,2,1,2,-0.5400662794919292,131643
1,3,3,0,3,2,3,2,1,1,1,2,-1.0661086493179344,132339
3,1,3,0,1,0,0,1,0,0,0,0,-0.5400662794919292,132486
0,3,0,2,0,2,0,0,2,0,1,2,-0.27253762954984356,132631
0,2,0,3,1,1,2,2,3,1,2,3,-1.0661086493179344,133338
2,1,1,1,3,3,0,1,1,0,1,2,-0.8075949294340148,134019
1,3,3,0,3,2,3,2,1,1,2,2,-1.0661086493179344,134708
2,0,0,0,3,2,2,0,1,0,0,1,-0.5400662794919292,134855
0,0,0,0,0,0,0,0,0,0,3,1,-1.0661086493179344,135569
1,3,3,0,3,2,3,2,1,1,3,2,-1.0661086493179344,136250
1,3,3,0,2,2,3,2,1,1,3,2,-1.0661086493179344,136939
3,1,1,1,3,0,0,1,1,1,0,2,-0.8075949294340148,137639
0,1,1,3,2,0,0,1,2,3,3,1,-0.5490812095500952,138331
0,0,0,3,0,0,0,0,0,0,3,1,-1.0661086493179344,139011
2,3,1,3,3,2,3,2,1,3,1,1,-0.5400662794919292,139162
0,2,3,1,2,1,2,2,1,1,0,3,-0.8075949294340151,139861
0,0,0,2,0,0,0,0,0,0,0,1,-1.0661086493179344,140524
0,0,1,3,0,0,0,1,2,0,3,1,-0.5490812095500958,141186
1,3,3,0,2,2,3,2,2,1,2,3,-0.8075949294340151,141870
2,1,1,1,3,1,0,1,0,1,0,2,-0.8075949294340151,142533
1,3,3,0,3,2,3,2,1,1,2,1,-1.0661086493179344,143217
1,0,2,1,2,1,3,1,0,0,1,0,-0.5400662794919292,143372
0,3,3,2,1,1,3,2,3,1,1,2,-0.5400662794919292,144070
2,0,1,0,2,1,1,1,3,2,3,0,-0.5400662794919292,144224
0,2,0,3,1,1,3,2,3,1,0,3,-0.8075949294340151,144926
2,1,2,1,3,0,0,1,1,1,1,2,-1.0661086493179344,145618
2,0,3,0,2,3,1,2,0,3,0,3,-1.0661086493179344,146291
0,0,3,3,2,0,1,2,2,2,0,1,-1.0661086493179344,146983
1,3,3,0,3,2,3,2,1,1,3,3,-1.0661086493179344,147709
0,0,0,0,0,0,0,0,0,0,0,2,-1.0661086493179344,148393
2,0,0,3,2,3,3,2,0,3,3,0,-1.0661086493179344,149061
1,3,3,0,3,2,3,2,2,1,3,1,-0.8075949294340151,149788
2,1,2,1,3,1,0,1,1,1,1,2,-1.0661086493179344,150449
1,3,3,0,3,2,3,2,1,1,0,3,-1.0661086493179344,151162
2,2,3,1,3,0,0,1,1,1,0,2,-0.3342607659482927,151856
2,0,0,2,2,3,2,2,0,3,3,0,-1.0661086493179344,152534
0,0,3,3,2,0,0,1,2,1,0,1,-0.8075949294340148,153216
2,1,1,1,3,1,0,1,1,1,1,3,-1.0661086493179344,153923
2,1,1,1,3,1,0,1,1,1,1,1,-1.0661086493179344,154617
2,1,2,1,3,0,0,1,1,2,3,2,-0.8075949294340148,155289
1,3,3,2,0,0,3,0,1,3,3,3,-1.0661086493179344,155981
2,0,0,0,2,3,2,2,0,3,0,0,-1.0661086493179344,156705
2,1,3,1,3,1,0,1,1,1,1,2,-1.0661086493179344,157354
0,2,0,3,3,1,2,2,2,1,0,2,-0.8075949294340151,158049
2,1,3,1,3,1,0,1,1,1,1,3,-1.0661086493179344,158734
2,1,3,1,3,0,0,1,1,1,1,2,-1.0661086493179344,159385
3,0,2,2,1,3,0,2,3,0,0,0,-0.5490812095500958,160094
2,1,3,1,3,0,0,1,1,1,1,3,-1.0661086493179344,160779
2,1,3,1,3,0,0,1,1,1,0,2,-1.0661086493179344,161478
2,0,3,0,0,2,2,2,0,3,3,3,-0.27253762954984356,162142
1,1,3,1,3,2,0,1,1,1,1,3,-0.8075949294340148,162818
0,1,0,1,1,1,2,2,3,1,1,2,-0.3342607659482927,163521
0,2,3,3,1,1,2,2,3,1,2,3,-1.0661086493179344,164231
3,0,2,0,1,3,1,3,3,0,1,2,-1.0661086493179344,164925
0,0,0,0,0,0,1,0,0,0,0,1,-1.0661086493179344,165601
1,3,3,0,3,1,3,2,1,1,3,1,-0.727841932919233,166283
2,1,2,0,3,0,0,1,1,1,1,2,-0.727841932919233,166972
2,1,1,1,3,0,1,1,1,1,2,3,-0.8075949294340151,167669
2,1,3,1,3,0,0,1,1,1,0,3,-1.0661086493179344,168381
2,0,2,0,2,3,3,2,0,3,0,0,-1.0661086493179344,169094
0,2,2,1,1,1,2,2,3,1,2,1,-1.0661086493179344,169764
2,3,3,2,1,0,3,0,1,3,3,3,-0.8075949294340151,170427
2,1,3,1,3,0,0,1,1,1,0,1,-1.0661086493179344,171128
0,3,1,3,0,1,2,3,3,3,3,1,-0.2725376295498433,171285
2,3,2,2,3,0,0,3,3,1,0,0,-0.5490812095500955,171441
2,0,2,2,2,3,1,2,0,3,3,3,-1.0661086493179344,172151
1,3,3,1,3,2,3,2,1,1,1,2,-0.8075949294340148,172872
2,3,2,1,3,1,0,1,1,1,1,1,0.004005950450408635,173575
1,3,3,0,3,2,1,2,1,1,1,2,-0.5490812095500958,174290
2,1,2,1,3,1,0,1,1,1,1,1,-1.0661086493179344,175016
2,1,3,1,3,0,0,0,1,1,0,2,-0.5310513494337629,175719
2,0,2,0,2,3,1,2,0,3,3,1,-1.0661086493179344,176416
2,1,2,1,3,1,0,1,1,1,0,1,-1.0661086493179344,177134
2,3,3,0,3,2,3,2,1,1,2,2,-0.8075949294340151,177837
0,1,0,1,3,1,0,1,1,1,0,1,-0.5490812095500952,178520
2,1,3,1,3,1,0,1,1,1,1,1,-1.0661086493179344,179239
2,0,3,0,2,3,2,2,0,3,3,3,-1.0661086493179344,179957
2,2,1,1,3,1,0,1,1,1,1,3,-0.5310513494337629,180652
0,0,0,0,0,0,0,0,0,0,0,3,-1.0661086493179344,181358
